DATE,NGDPRSAXDCARQ
2004-01-01,118996.8984375
2004-04-01,117536.703125
2004-07-01,123438.6015625
2004-10-01,125143.1015625
2005-01-01,128751.203125
2005-04-01,131763.296875
2005-07-01,132497.296875
2005-10-01,135044.09375
2006-01-01,138594.296875
2006-04-01,140305.796875
2006-07-01,144251.09375
2006-10-01,147398.203125
2007-01-01,150863.40625
2007-04-01,153994.796875
2007-07-01,156110.203125
2007-10-01,160974.09375
2008-01-01,162617.0
2008-04-01,163201.203125
2008-07-01,164453.09375
2008-10-01,156904.796875
2009-01-01,151258.09375
2009-04-01,147541.59375
2009-07-01,153518.40625
2009-10-01,156554.703125
2010-01-01,161419.09375
2010-04-01,168414.90625
2010-07-01,169345.0
2010-10-01,171344.703125
2011-01-01,175419.796875
2011-04-01,177561.40625
2011-07-01,179024.0
2011-10-01,178776.40625
2012-01-01,177050.90625
2012-04-01,170981.5
2012-07-01,176307.796875
2012-10-01,179145.90625
2013-01-01,179020.90625
2013-04-01,180269.59375
2013-07-01,181332.0
2013-10-01,179784.59375
2014-01-01,177026.5
2014-04-01,175825.90625
2014-07-01,174274.296875
2014-10-01,175179.40625
2015-01-01,177629.40625
2015-04-01,182288.703125
2015-07-01,181837.703125
2015-10-01,179731.40625
2016-01-01,178383.5
2016-04-01,175272.40625
2016-07-01,175818.90625
2016-10-01,177003.0
2017-01-01,178638.296875
2017-04-01,180333.703125
2017-07-01,182813.90625
2017-10-01,184604.0
2018-01-01,183435.296875
2018-04-01,175739.09375
2018-07-01,175442.296875
2018-10-01,172760.703125
2019-01-01,173109.5
2019-04-01,174005.203125
2019-07-01,174238.40625
2019-10-01,171870.703125
2020-01-01,163651.09375
2020-04-01,140822.796875
2020-07-01,156233.796875
2020-10-01,163883.59375
2021-01-01,168538.796875
2021-04-01,169894.90625
2021-07-01,173715.203125
2021-10-01,177661.09375
2022-01-01,180437.40625
2022-04-01,183491.0
2022-07-01,183259.90625
2022-10-01,178973.796875
2023-01-01,180969.703125
2023-04-01,176576.0
2023-07-01,180709.203125
2023-10-01,176208.703125
2024-01-01,171679.90625
